z.angle	azimuth	450	600
80.00	5.00	0.5007	0.5651	
80.00	15.00	0.4322	0.4625	
80.00	25.00	0.1776	0.1908	
80.00	35.00	0.1986	0.2340	
80.00	45.00	0.1700	0.2211	
80.00	55.00	0.1743	0.2592	
80.00	65.00	0.1852	0.3292	
80.00	75.00	0.1870	0.3791	
80.00	85.00	0.1726	0.3678	
80.00	95.00	0.1616	0.2958	
80.00	105.00	0.1682	0.3122	
80.00	115.00	0.1626	0.2720	
80.00	125.00	0.1335	0.1596	
80.00	135.00	0.1273	0.1542	
80.00	145.00	0.1200	0.1578	
80.00	155.00	0.1301	0.1967	
80.00	165.00	0.1686	0.2658	
80.00	175.00	0.2392	0.4127	
80.00	185.00	0.2785	0.4201	
80.00	195.00	0.2371	0.2910	
80.00	205.00	0.1782	0.2337	
80.00	215.00	0.1416	0.2088	
80.00	225.00	0.1308	0.2052	
80.00	235.00	0.1391	0.2387	
80.00	245.00	0.1565	0.3351	
80.00	255.00	0.2076	0.5140	
80.00	265.00	0.2817	0.7486	
80.00	275.00	0.3418	0.8606	
80.00	285.00	0.4373	1.1050	
80.00	295.00	0.6101	1.5947	
80.00	305.00	0.7207	1.7819	
80.00	315.00	0.7351	1.6150	
80.00	325.00	0.4471	0.8313	
80.00	335.00	0.2937	0.5302	
80.00	345.00	0.3101	0.4918	
80.00	355.00	0.4211	0.5451	
70.00	360.00	0.3313	0.4026	
70.00	349.41	0.3257	0.4381	
70.00	338.82	0.3507	0.5240	
70.00	328.24	0.3972	0.6982	
70.00	317.65	0.4127	0.8166	
70.00	307.06	0.3702	0.7603	
70.00	296.47	0.2951	0.5456	
70.00	285.88	0.2366	0.4455	
70.00	275.29	0.2028	0.4223	
70.00	264.71	0.1773	0.3857	
70.00	254.12	0.1523	0.3246	
70.00	243.53	0.1397	0.2996	
70.00	232.94	0.1361	0.2748	
70.00	222.35	0.1441	0.2720	
70.00	211.76	0.1595	0.2761	
70.00	201.18	0.1949	0.3226	
70.00	190.59	0.2182	0.3631	
70.00	180.00	0.1981	0.3271	
70.00	169.41	0.1602	0.2551	
70.00	158.82	0.1273	0.1948	
70.00	148.24	0.1021	0.1400	
70.00	137.65	0.0908	0.1032	
70.00	127.06	0.0910	0.1051	
70.00	116.47	0.0956	0.1145	
70.00	105.88	0.1002	0.1307	
70.00	95.29	0.1060	0.1506	
70.00	84.71	0.1118	0.1626	
70.00	74.12	0.1230	0.2250	
70.00	63.53	0.1289	0.2158	
70.00	52.94	0.1320	0.1631	
70.00	42.35	0.1483	0.1666	
70.00	31.76	0.1886	0.2016	
70.00	21.18	0.2568	0.2711	
70.00	10.59	0.3211	0.3543	
60.00	5.62	0.2147	0.2387	
60.00	16.88	0.1920	0.2065	
60.00	28.12	0.1595	0.1678	
60.00	39.38	0.1311	0.1397	
60.00	50.62	0.1123	0.1266	
60.00	61.88	0.1000	0.1150	
60.00	73.12	0.0931	0.1086	
60.00	84.38	0.0868	0.1011	
60.00	95.62	0.0827	0.0961	
60.00	106.88	0.0786	0.0896	
60.00	118.12	0.0760	0.0842	
60.00	129.38	0.0738	0.0808	
60.00	140.62	0.0762	0.0863	
60.00	151.88	0.0917	0.1293	
60.00	163.12	0.1146	0.1806	
60.00	174.38	0.1378	0.2325	
60.00	185.62	0.1508	0.2537	
60.00	196.88	0.1541	0.2676	
60.00	208.12	0.1588	0.3028	
60.00	219.38	0.1552	0.3201	
60.00	230.62	0.1460	0.3231	
60.00	241.88	0.1360	0.3010	
60.00	253.12	0.1351	0.2946	
60.00	264.38	0.1356	0.2646	
60.00	275.62	0.1422	0.2456	
60.00	286.88	0.1541	0.2350	
60.00	298.12	0.1770	0.2651	
60.00	309.38	0.1983	0.2879	
60.00	320.62	0.2135	0.2982	
60.00	331.88	0.2183	0.2963	
60.00	343.12	0.2147	0.2770	
60.00	354.38	0.2141	0.2582	
50.00	360.00	0.1477	0.1667	
50.00	347.14	0.1506	0.1778	
50.00	334.29	0.1502	0.1867	
50.00	321.43	0.1468	0.1905	
50.00	308.57	0.1372	0.1861	
50.00	295.71	0.1242	0.1745	
50.00	282.86	0.1092	0.1522	
50.00	270.00	0.0978	0.1398	
50.00	257.14	0.1027	0.1806	
50.00	244.29	0.1177	0.2523	
50.00	231.43	0.1254	0.2745	
50.00	218.57	0.1176	0.2288	
50.00	205.71	0.1070	0.1822	
50.00	192.86	0.1088	0.1811	
50.00	180.00	0.0977	0.1501	
50.00	167.14	0.0788	0.1020	
50.00	154.29	0.0663	0.0715	
50.00	141.43	0.0632	0.0671	
50.00	128.57	0.0635	0.0671	
50.00	115.71	0.0642	0.0688	
50.00	102.86	0.0676	0.0743	
50.00	90.00	0.0715	0.0798	
50.00	77.14	0.0763	0.0845	
50.00	64.29	0.0843	0.0956	
50.00	51.43	0.0912	0.0983	
50.00	38.57	0.1062	0.1165	
50.00	25.71	0.1291	0.1526	
50.00	12.86	0.1408	0.1611	
40.00	7.50	0.1208	0.1573	
40.00	22.50	0.1903	0.3746	
40.00	37.50	0.1686	0.3128	
40.00	52.50	0.0991	0.1281	
40.00	67.50	0.0745	0.0835	
40.00	82.50	0.0662	0.0718	
40.00	97.50	0.0618	0.0667	
40.00	112.50	0.0593	0.0635	
40.00	127.50	0.0580	0.0617	
40.00	142.50	0.0623	0.0730	
40.00	157.50	0.0682	0.0925	
40.00	172.50	0.0676	0.0861	
40.00	187.50	0.0677	0.0805	
40.00	202.50	0.0705	0.0892	
40.00	217.50	0.0851	0.1408	
40.00	232.50	0.0868	0.1482	
40.00	247.50	0.0855	0.1392	
40.00	262.50	0.0883	0.1337	
40.00	277.50	0.0935	0.1356	
40.00	292.50	0.0981	0.1333	
40.00	307.50	0.1061	0.1406	
40.00	322.50	0.1087	0.1346	
40.00	337.50	0.1121	0.1324	
40.00	352.50	0.1265	0.1735	
30.00	360.00	0.0855	0.0955	
30.00	340.00	0.0871	0.1001	
30.00	320.00	0.0841	0.0997	
30.00	300.00	0.0791	0.0960	
30.00	280.00	0.0731	0.0905	
30.00	260.00	0.0686	0.0880	
30.00	240.00	0.0632	0.0785	
30.00	220.00	0.0597	0.0715	
30.00	200.00	0.0578	0.0648	
30.00	180.00	0.0545	0.0591	
30.00	160.00	0.0540	0.0575	
30.00	140.00	0.0540	0.0566	
30.00	120.00	0.0551	0.0573	
30.00	100.00	0.0580	0.0608	
30.00	80.00	0.0607	0.0628	
30.00	60.00	0.0662	0.0681	
30.00	40.00	0.0723	0.0756	
30.00	20.00	0.0801	0.0836	
20.00	15.00	0.0685	0.0715	
20.00	45.00	0.0633	0.0652	
20.00	75.00	0.0583	0.0600	
20.00	105.00	0.0543	0.0563	
20.00	135.00	0.0553	0.0613	
20.00	165.00	0.0523	0.0547	
20.00	195.00	0.0528	0.0567	
20.00	225.00	0.0556	0.0610	
20.00	255.00	0.0593	0.0682	
20.00	285.00	0.0648	0.0730	
20.00	315.00	0.0683	0.0752	
20.00	345.00	0.0695	0.0747	
10.00	360.00	0.0597	0.0630	
10.00	300.00	0.0588	0.0628	
10.00	240.00	0.0566	0.0593	
10.00	180.00	0.0541	0.0553	
10.00	120.00	0.0548	0.0592	
10.00	60.00	0.0561	0.0580	
0.00	60.00	0.0545	0.0571	
